purchase_id,customer_id,product_id,quantity,purchase_date
PU001,C001,P001,1,2025-01-12
PU002,C001,P004,2,2025-01-25
PU003,C001,P007,1,2025-02-03
PU005,C002,P005,1,2025-01-18
PU009,C003,P001,1,2025-02-15

PU011,C004,P005,1,2025-01-28

PU013,C005,P010,2,2025-01-09
PU014,C005,P004,1,2025-01-23
PU015,C005,P002,1,2025-02-10

PU019,C007,P001,1,2025-01-10
PU020,C007,P007,1,2025-01-27
PU021,C007,P010,1,2025-02-14
PU024,C008,P004,1,2025-02-12

PU025,C009,P006,1,2025-01-08
PU027,C009,P001,1,2025-02-08

PU028,C010,P005,1,2025-01-15

