offer_id,title,category,discount,validity
O201,Flat 30% on Sneakers,Footwear,30,2025-12-31
O202,Buy 1 Get 1 T-Shirts,Clothing,50,2025-12-15
O203,Extra 20% Off on Denims,Clothing,20,2025-11-30
O204,Flat 25% on Jackets,Clothing,25,2025-12-20
O205,30% OFF on Backpacks,Bags,30,2025-12-25
O206,Handbag Fest 20% OFF,Bags,20,2025-11-28
O207,Premium Watches 15% OFF,Accessories,15,2025-12-22
O208,Wallets Flat 10% OFF,Accessories,10,2025-12-05
O209,Festive Sale on Footwear,Footwear,35,2025-12-10
O210,Shirts Combo Offer,Clothing,18,2025-12-18
O211,Sunglasses Summer Sale,Accessories,12,2025-12-09
O212,Winter Boots Deal 28% OFF,Footwear,28,2025-12-31
